indicator_id,periodo,valor,meta,avance_porcentual,entidad,categoria,fuente_detalle
sii-02-porcentaje-de-acciones-de-inspeccion-rea-g005-2025,2025,161969.0,163385.0,99.13,Nacional,,POA Avance - Acumulado anual
sii-03-porcentaje-de-acciones-de-inspeccion-y-v-g005-2025,2025-01,83.0,0.0,,Nacional,,POA Avance - Enero
sii-03-porcentaje-de-acciones-de-inspeccion-y-v-g005-2025,2025-02,263.0,288.0,91.32,Nacional,,POA Avance - Febrero
sii-03-porcentaje-de-acciones-de-inspeccion-y-v-g005-2025,2025-03,141.0,315.0,44.76,Nacional,,POA Avance - Marzo
sii-03-porcentaje-de-acciones-de-inspeccion-y-v-g005-2025,2025-04,221.0,356.0,62.08,Nacional,,POA Avance - Abril
sii-03-porcentaje-de-acciones-de-inspeccion-y-v-g005-2025,2025-05,277.0,378.0,73.28,Nacional,,POA Avance - Mayo
sii-03-porcentaje-de-acciones-de-inspeccion-y-v-g005-2025,2025-06,386.0,377.0,102.39,Nacional,,POA Avance - Junio
sii-03-porcentaje-de-acciones-de-inspeccion-y-v-g005-2025,2025-07,254.0,374.0,67.91,Nacional,,POA Avance - Julio
sii-03-porcentaje-de-acciones-de-inspeccion-y-v-g005-2025,2025-08,498.0,361.0,137.95,Nacional,,POA Avance - Agosto
sii-03-porcentaje-de-acciones-de-inspeccion-y-v-g005-2025,2025-09,359.0,355.0,101.13,Nacional,,POA Avance - Septiembre
sii-03-porcentaje-de-acciones-de-inspeccion-y-v-g005-2025,2025-10,370.0,325.0,113.85,Nacional,,POA Avance - Octubre
sii-03-porcentaje-de-acciones-de-inspeccion-y-v-g005-2025,2025-11,276.0,274.0,100.73,Nacional,,POA Avance - Noviembre
sii-03-porcentaje-de-acciones-de-inspeccion-y-v-g005-2025,2025-12,179.0,97.0,184.54,Nacional,,POA Avance - Diciembre
sii-03-porcentaje-de-acciones-de-inspeccion-y-v-g005-2025,2025,3307.0,3500.0,94.49,Nacional,,POA Avance - Acumulado anual
sii-04-porcentaje-de-revision-de-mercancias-cuy-g005-2025,2025-01,12207.0,12207.0,100.0,Nacional,,POA Avance - Enero
sii-04-porcentaje-de-revision-de-mercancias-cuy-g005-2025,2025-02,12003.0,12003.0,100.0,Nacional,,POA Avance - Febrero
sii-04-porcentaje-de-revision-de-mercancias-cuy-g005-2025,2025-03,13192.0,13192.0,100.0,Nacional,,POA Avance - Marzo
sii-04-porcentaje-de-revision-de-mercancias-cuy-g005-2025,2025-04,13378.0,13378.0,100.0,Nacional,,POA Avance - Abril
sii-04-porcentaje-de-revision-de-mercancias-cuy-g005-2025,2025-05,13079.0,13079.0,100.0,Nacional,,POA Avance - Mayo
sii-04-porcentaje-de-revision-de-mercancias-cuy-g005-2025,2025-06,14812.0,14812.0,100.0,Nacional,,POA Avance - Junio
sii-04-porcentaje-de-revision-de-mercancias-cuy-g005-2025,2025-07,14563.0,14563.0,100.0,Nacional,,POA Avance - Julio
sii-04-porcentaje-de-revision-de-mercancias-cuy-g005-2025,2025-08,13691.0,13691.0,100.0,Nacional,,POA Avance - Agosto
sii-04-porcentaje-de-revision-de-mercancias-cuy-g005-2025,2025-09,12995.0,12995.0,100.0,Nacional,,POA Avance - Septiembre
sii-04-porcentaje-de-revision-de-mercancias-cuy-g005-2025,2025-10,14783.0,14783.0,100.0,Nacional,,POA Avance - Octubre
sii-04-porcentaje-de-revision-de-mercancias-cuy-g005-2025,2025-11,13940.0,13940.0,100.0,Nacional,,POA Avance - Noviembre
sii-04-porcentaje-de-revision-de-mercancias-cuy-g005-2025,2025-12,14349.0,14349.0,100.0,Nacional,,POA Avance - Diciembre
sii-04-porcentaje-de-revision-de-mercancias-cuy-g005-2025,2025,162992.0,162992.0,100.0,Nacional,,POA Avance - Acumulado anual
sii-05-emplazamientos-realizados-a-procedimient-g005-2025,2025-01,163.0,0.0,,Nacional,,POA Avance - Enero
sii-05-emplazamientos-realizados-a-procedimient-g005-2025,2025-02,35.0,91.0,38.46,Nacional,,POA Avance - Febrero
sii-05-emplazamientos-realizados-a-procedimient-g005-2025,2025-03,78.0,108.0,72.22,Nacional,,POA Avance - Marzo
sii-05-emplazamientos-realizados-a-procedimient-g005-2025,2025-04,412.0,120.0,343.33,Nacional,,POA Avance - Abril
sii-05-emplazamientos-realizados-a-procedimient-g005-2025,2025-05,49.0,125.0,39.2,Nacional,,POA Avance - Mayo
sii-05-emplazamientos-realizados-a-procedimient-g005-2025,2025-06,68.0,137.0,49.64,Nacional,,POA Avance - Junio
sii-05-emplazamientos-realizados-a-procedimient-g005-2025,2025-07,36.0,134.0,26.87,Nacional,,POA Avance - Julio
sii-05-emplazamientos-realizados-a-procedimient-g005-2025,2025-08,41.0,141.0,29.08,Nacional,,POA Avance - Agosto
sii-05-emplazamientos-realizados-a-procedimient-g005-2025,2025-09,42.0,128.0,32.81,Nacional,,POA Avance - Septiembre
sii-05-emplazamientos-realizados-a-procedimient-g005-2025,2025-10,38.0,126.0,30.16,Nacional,,POA Avance - Octubre
sii-05-emplazamientos-realizados-a-procedimient-g005-2025,2025-11,44.0,103.0,42.72,Nacional,,POA Avance - Noviembre
sii-05-emplazamientos-realizados-a-procedimient-g005-2025,2025-12,55.0,1.0,5500.0,Nacional,,POA Avance - Diciembre
